2025-12-15 22:09:08 [ERROR]: Unhandled error in request {"requestId":"1765854548546-fs2t8kc6y","method":"GET","path":"/debug-sentry","userId":null,"error":{"message":"My first Sentry error!","stack":"Error: My first Sentry error!\n    at mainHandler (file:///C:/Users/Zaid%20Hasan/OneDrive/Desktop/New%20ATS/Aandsz-Forces-ATS-CS490/backend/server.js:627:9)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:91:12)\n    at trim_prefix (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at requestLogger (file:///C:/Users/Zaid%20Hasan/OneDrive/Desktop/New%20ATS/Aandsz-Forces-ATS-CS490/backend/middleware/logging.js:63:3)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","name":"Error"}}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910171-faxyygc8n","method":"POST","path":"/profile/picture","route":"/profile/picture","statusCode":500,"responseTime":"4ms","userId":null,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910395-gcp7a60lw","method":"GET","path":"/profile/summary","route":"/profile/summary","statusCode":500,"responseTime":"3ms","userId":null,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910423-sd6by2oy9","method":"GET","path":"/","route":"/","statusCode":500,"responseTime":"6ms","userId":158264,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910596-ajei1boud","method":"POST","path":"/","route":"/","statusCode":500,"responseTime":"28ms","userId":158266,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910774-guz59yn68","method":"POST","path":"/delete","route":"/delete","statusCode":500,"responseTime":"3ms","userId":1,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910811-o9oo80dln","method":"DELETE","path":"/3147","route":"/:id","statusCode":500,"responseTime":"54ms","userId":158268,"error":null}
2025-12-16 20:28:30 [ERROR]: Unhandled error in request {"method":"OPTIONS","path":"/api/jobs","route":"/api/jobs","userId":null,"query":{},"headers":{},"error":{"message":"CORS blocked","stack":"Error: CORS blocked\n    at origin (C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/server.js:173:10)\n    at C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handle [as handle_request] (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:527:6)\n    at xXssProtectionMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:307:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)\n    at xPoweredByMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:300:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)\n    at xPermittedCrossDomainPoliciesMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:293:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)","name":"Error"}}
2025-12-16 20:28:30 [ERROR]: Unhandled error in request {"method":"OPTIONS","path":"/api/jobs","userId":null,"error":{"message":"CORS blocked","stack":"Error: CORS blocked\n    at origin (C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/server.js:173:10)\n    at C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handle [as handle_request] (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\aditn\\OneDrive\\Desktop\\Cursor\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:527:6)\n    at xXssProtectionMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:307:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)\n    at xPoweredByMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:300:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)\n    at xPermittedCrossDomainPoliciesMiddleware (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:293:3)\n    at internalNext (file:///C:/Users/aditn/OneDrive/Desktop/Cursor/Aandsz-Forces-ATS-CS490/backend/node_modules/helmet/index.mjs:525:6)","name":"Error"}}
2025-12-16 20:28:31 [ERROR]: Request completed with error {"requestId":"1765934911598-ejnpbjff2","method":"POST","path":"/register","route":"/register","statusCode":500,"responseTime":"110ms","userId":null,"error":null}
2025-12-16 20:28:31 [ERROR]: Request completed with error {"requestId":"1765934911791-w4ml2q03z","method":"POST","path":"/register","route":"/register","statusCode":500,"responseTime":"101ms","userId":null,"error":null}
